YL,Month,Drought,Period,Green.Year,n,Category,Months
0,Apr,No,Green,2011,72,0,Apr
0,Apr,No,Green,2013,170,0,Apr
0,Apr,No,Green,2018,129,0,Apr
0,Apr,No,Green,2019,83,0,Apr
0,Apr,No,Green,2021,94,0,Apr
0,Apr,No,Green,2023,72,0,Apr
0,Apr,Yes,Green,2017,142,0,Apr
0,Apr,Yes,Green,2022,113,0,Apr
0,Aug,No,Yellow,2011,162,0,Aug
0,Aug,No,Yellow,2012,175,0,Aug
0,Aug,No,Yellow,2013,115,0,Aug
0,Aug,No,Yellow,2014,161,0,Aug
0,Aug,No,Yellow,2018,187,0,Aug
0,Aug,No,Yellow,2019,180,0,Aug
0,Aug,No,Yellow,2020,185,0,Aug
0,Aug,No,Yellow,2021,183,0,Aug
0,Aug,No,Yellow,2023,191,0,Aug
0,Aug,Yes,Yellow,2016,152,0,Aug
0,Aug,Yes,Yellow,2022,160,0,Aug
0,Dec,No,Green,2013,172,0,Dec
0,Dec,No,Green,2014,55,0,Dec
0,Dec,No,Green,2015,136,0,Dec
0,Dec,No,Green,2018,113,0,Dec
0,Dec,No,Green,2019,150,0,Dec
0,Dec,No,Green,2020,40,0,Dec
0,Dec,No,Green,2021,158,0,Dec
0,Dec,No,Green,2023,168,0,Dec
0,Dec,Yes,Green,2016,108,0,Dec
0,Dec,Yes,Green,2017,115,0,Dec
0,Dec,Yes,Green,2022,155,0,Dec
0,Feb,No,Green,2011,1,0,Feb
0,Feb,No,Green,2013,168,0,Feb
0,Feb,No,Green,2014,35,0,Feb
0,Feb,No,Green,2018,138,0,Feb
0,Feb,No,Green,2019,12,0,Feb
0,Feb,No,Green,2020,18,0,Feb
0,Feb,No,Green,2021,9,0,Feb
0,Feb,No,Green,2023,4,0,Feb
0,Feb,Yes,Green,2016,57,0,Feb
0,Feb,Yes,Green,2017,46,0,Feb
0,Feb,Yes,Green,2022,21,0,Feb
0,Jan,No,Green,2011,3,0,Jan
0,Jan,No,Green,2013,171,0,Jan
0,Jan,No,Green,2014,13,0,Jan
0,Jan,No,Green,2015,96,0,Jan
0,Jan,No,Green,2018,30,0,Jan
0,Jan,No,Green,2019,40,0,Jan
0,Jan,No,Green,2020,2,0,Jan
0,Jan,No,Green,2021,17,0,Jan
0,Jan,No,Green,2023,68,0,Jan
0,Jan,Yes,Green,2016,31,0,Jan
0,Jan,Yes,Green,2017,59,0,Jan
0,Jan,Yes,Green,2022,148,0,Jan
0,Jul,No,Yellow,2011,157,0,Jul
0,Jul,No,Yellow,2012,175,0,Jul
0,Jul,No,Yellow,2013,52,0,Jul
0,Jul,No,Yellow,2015,150,0,Jul
0,Jul,No,Yellow,2018,91,0,Jul
0,Jul,No,Yellow,2019,180,0,Jul
0,Jul,No,Yellow,2020,184,0,Jul
0,Jul,No,Yellow,2023,185,0,Jul
0,Jul,Yes,Yellow,2016,154,0,Jul
0,Jul,Yes,Yellow,2017,194,0,Jul
0,Jul,Yes,Yellow,2022,179,0,Jul
0,Jun,No,Yellow,2011,111,0,Jun
0,Jun,No,Yellow,2012,171,0,Jun
0,Jun,No,Yellow,2013,171,0,Jun
0,Jun,No,Yellow,2014,158,0,Jun
0,Jun,No,Yellow,2015,148,0,Jun
0,Jun,No,Yellow,2018,174,0,Jun
0,Jun,No,Yellow,2019,169,0,Jun
0,Jun,No,Yellow,2020,180,0,Jun
0,Jun,No,Yellow,2021,122,0,Jun
0,Jun,No,Yellow,2023,196,0,Jun
0,Jun,Yes,Yellow,2017,147,0,Jun
0,Jun,Yes,Yellow,2022,177,0,Jun
0,Mar,No,Green,2011,17,0,Mar
0,Mar,No,Green,2013,16,0,Mar
0,Mar,No,Green,2014,89,0,Mar
0,Mar,No,Green,2015,64,0,Mar
0,Mar,No,Green,2018,61,0,Mar
0,Mar,No,Green,2019,18,0,Mar
0,Mar,No,Green,2020,50,0,Mar
0,Mar,No,Green,2021,35,0,Mar
0,Mar,Yes,Green,2016,89,0,Mar
0,Mar,Yes,Green,2017,62,0,Mar
0,Mar,Yes,Green,2022,45,0,Mar
0,May,No,Green,2011,111,0,May
0,May,No,Green,2013,172,0,May
0,May,No,Green,2014,135,0,May
0,May,No,Green,2015,145,0,May
0,May,No,Green,2018,167,0,May
0,May,No,Green,2019,129,0,May
0,May,No,Green,2021,180,0,May
0,May,No,Green,2023,158,0,May
0,May,Yes,Green,2016,140,0,May
0,May,Yes,Green,2017,148,0,May
0,May,Yes,Green,2022,152,0,May
0,Nov,No,Yellow,2012,172,0,Nov
0,Nov,No,Yellow,2013,121,0,Nov
0,Nov,No,Yellow,2014,147,0,Nov
0,Nov,No,Yellow,2015,129,0,Nov
0,Nov,No,Yellow,2018,172,0,Nov
0,Nov,No,Yellow,2019,172,0,Nov
0,Nov,No,Yellow,2020,172,0,Nov
0,Nov,No,Yellow,2023,155,0,Nov
0,Nov,Yes,Yellow,2016,137,0,Nov
0,Nov,Yes,Yellow,2017,160,0,Nov
0,Nov,Yes,Yellow,2022,197,0,Nov
0,Oct,No,Yellow,2012,135,0,Oct
0,Oct,No,Yellow,2013,105,0,Oct
0,Oct,No,Yellow,2014,162,0,Oct
0,Oct,No,Yellow,2018,75,0,Oct
0,Oct,No,Yellow,2019,182,0,Oct
0,Oct,No,Yellow,2020,183,0,Oct
0,Oct,No,Yellow,2023,177,0,Oct
0,Oct,Yes,Yellow,2016,148,0,Oct
0,Oct,Yes,Yellow,2017,188,0,Oct
0,Oct,Yes,Yellow,2022,199,0,Oct
0,Sep,No,Yellow,2011,164,0,Sep
0,Sep,No,Yellow,2012,172,0,Sep
0,Sep,No,Yellow,2014,164,0,Sep
0,Sep,No,Yellow,2015,155,0,Sep
0,Sep,No,Yellow,2018,50,0,Sep
0,Sep,No,Yellow,2019,182,0,Sep
0,Sep,No,Yellow,2020,183,0,Sep
0,Sep,No,Yellow,2023,194,0,Sep
0,Sep,Yes,Yellow,2022,157,0,Sep
1,Apr,No,Green,2011,33,1,Apr
1,Apr,No,Green,2018,18,1,Apr
1,Apr,No,Green,2019,24,1,Apr
1,Apr,No,Green,2021,15,1,Apr
1,Apr,No,Green,2023,19,1,Apr
1,Apr,Yes,Green,2017,6,1,Apr
1,Apr,Yes,Green,2022,21,1,Apr
1,Aug,No,Yellow,2011,6,1,Aug
1,Aug,No,Yellow,2014,4,1,Aug
1,Aug,No,Yellow,2019,3,1,Aug
1,Aug,No,Yellow,2023,3,1,Aug
1,Aug,Yes,Yellow,2016,1,1,Aug
1,Dec,No,Green,2014,17,1,Dec
1,Dec,No,Green,2015,6,1,Dec
1,Dec,No,Green,2018,16,1,Dec
1,Dec,No,Green,2019,13,1,Dec
1,Dec,No,Green,2020,13,1,Dec
1,Dec,No,Green,2021,6,1,Dec
1,Dec,No,Green,2023,9,1,Dec
1,Dec,Yes,Green,2016,10,1,Dec
1,Dec,Yes,Green,2017,10,1,Dec
1,Dec,Yes,Green,2022,11,1,Dec
1,Feb,No,Green,2013,3,1,Feb
1,Feb,No,Green,2014,22,1,Feb
1,Feb,No,Green,2018,10,1,Feb
1,Feb,No,Green,2019,10,1,Feb
1,Feb,No,Green,2020,13,1,Feb
1,Feb,No,Green,2021,6,1,Feb
1,Feb,No,Green,2023,9,1,Feb
1,Feb,Yes,Green,2016,13,1,Feb
1,Feb,Yes,Green,2017,12,1,Feb
1,Feb,Yes,Green,2022,18,1,Feb
1,Jan,No,Green,2011,7,1,Jan
1,Jan,No,Green,2014,16,1,Jan
1,Jan,No,Green,2015,14,1,Jan
1,Jan,No,Green,2018,1,1,Jan
1,Jan,No,Green,2019,10,1,Jan
1,Jan,No,Green,2020,7,1,Jan
1,Jan,No,Green,2021,3,1,Jan
1,Jan,No,Green,2023,7,1,Jan
1,Jan,Yes,Green,2016,10,1,Jan
1,Jan,Yes,Green,2017,10,1,Jan
1,Jan,Yes,Green,2022,8,1,Jan
1,Jul,No,Yellow,2011,27,1,Jul
1,Jul,No,Yellow,2015,6,1,Jul
1,Jul,No,Yellow,2018,1,1,Jul
1,Jul,No,Yellow,2019,1,1,Jul
1,Jul,No,Yellow,2023,8,1,Jul
1,Jul,Yes,Yellow,2016,1,1,Jul
1,Jul,Yes,Yellow,2017,2,1,Jul
1,Jun,No,Yellow,2011,21,1,Jun
1,Jun,No,Yellow,2012,2,1,Jun
1,Jun,No,Yellow,2014,6,1,Jun
1,Jun,No,Yellow,2015,10,1,Jun
1,Jun,No,Yellow,2018,4,1,Jun
1,Jun,No,Yellow,2019,10,1,Jun
1,Jun,No,Yellow,2020,4,1,Jun
1,Jun,Yes,Yellow,2017,4,1,Jun
1,Jun,Yes,Yellow,2022,2,1,Jun
1,Mar,No,Green,2011,16,1,Mar
1,Mar,No,Green,2014,30,1,Mar
1,Mar,No,Green,2015,30,1,Mar
1,Mar,No,Green,2018,26,1,Mar
1,Mar,No,Green,2019,16,1,Mar
1,Mar,No,Green,2020,15,1,Mar
1,Mar,No,Green,2021,16,1,Mar
1,Mar,Yes,Green,2016,21,1,Mar
1,Mar,Yes,Green,2017,18,1,Mar
1,Mar,Yes,Green,2022,28,1,Mar
1,May,No,Green,2011,27,1,May
1,May,No,Green,2014,21,1,May
1,May,No,Green,2015,11,1,May
1,May,No,Green,2018,13,1,May
1,May,No,Green,2019,24,1,May
1,May,No,Green,2021,6,1,May
1,May,No,Green,2023,18,1,May
1,May,Yes,Green,2016,7,1,May
1,May,Yes,Green,2017,4,1,May
1,May,Yes,Green,2022,19,1,May
1,Nov,No,Yellow,2012,1,1,Nov
1,Nov,No,Yellow,2013,10,1,Nov
1,Nov,No,Yellow,2014,9,1,Nov
1,Nov,No,Yellow,2015,9,1,Nov
