ML,Month,Drought,Period,Green.Year,n
0,Apr,No,Green,2011,9
0,Apr,No,Green,2013,159
0,Apr,No,Green,2018,19
0,Apr,No,Green,2019,39
0,Apr,No,Green,2021,32
0,Apr,No,Green,2023,57
0,Apr,Yes,Green,2017,10
0,Apr,Yes,Green,2022,12
0,Aug,No,Yellow,2011,81
0,Aug,No,Yellow,2012,155
0,Aug,No,Yellow,2013,52
0,Aug,No,Yellow,2014,70
0,Aug,No,Yellow,2018,68
0,Aug,No,Yellow,2019,86
0,Aug,No,Yellow,2020,96
0,Aug,No,Yellow,2021,93
0,Aug,No,Yellow,2023,72
0,Aug,Yes,Yellow,2016,62
0,Aug,Yes,Yellow,2022,91
0,Dec,No,Green,2013,161
0,Dec,No,Green,2014,107
0,Dec,No,Green,2015,138
0,Dec,No,Green,2018,158
0,Dec,No,Green,2019,142
0,Dec,No,Green,2020,160
0,Dec,No,Green,2021,159
0,Dec,No,Green,2023,180
0,Dec,Yes,Green,2016,122
0,Dec,Yes,Green,2017,126
0,Dec,Yes,Green,2022,160
0,Feb,No,Green,2011,66
0,Feb,No,Green,2013,164
0,Feb,No,Green,2014,69
0,Feb,No,Green,2018,55
0,Feb,No,Green,2019,149
0,Feb,No,Green,2020,125
0,Feb,No,Green,2021,151
0,Feb,No,Green,2023,83
0,Feb,Yes,Green,2016,66
0,Feb,Yes,Green,2017,83
0,Feb,Yes,Green,2022,118
0,Jan,No,Green,2011,85
0,Jan,No,Green,2013,160
0,Jan,No,Green,2014,97
0,Jan,No,Green,2015,136
0,Jan,No,Green,2018,14
0,Jan,No,Green,2019,156
0,Jan,No,Green,2020,157
0,Jan,No,Green,2021,165
0,Jan,No,Green,2023,186
0,Jan,Yes,Green,2016,98
0,Jan,Yes,Green,2017,119
0,Jan,Yes,Green,2022,150
0,Jul,No,Yellow,2011,58
0,Jul,No,Yellow,2012,153
0,Jul,No,Yellow,2013,22
0,Jul,No,Yellow,2015,54
0,Jul,No,Yellow,2018,29
0,Jul,No,Yellow,2019,64
0,Jul,No,Yellow,2020,86
0,Jul,No,Yellow,2023,69
0,Jul,Yes,Yellow,2016,50
0,Jul,Yes,Yellow,2017,77
0,Jul,Yes,Yellow,2022,102
0,Jun,No,Yellow,2011,47
0,Jun,No,Yellow,2012,151
0,Jun,No,Yellow,2013,159
0,Jun,No,Yellow,2014,46
0,Jun,No,Yellow,2015,43
0,Jun,No,Yellow,2018,59
0,Jun,No,Yellow,2019,54
0,Jun,No,Yellow,2020,59
0,Jun,No,Yellow,2021,40
0,Jun,No,Yellow,2023,56
0,Jun,Yes,Yellow,2017,46
0,Jun,Yes,Yellow,2022,57
0,Mar,No,Green,2011,30
0,Mar,No,Green,2013,15
0,Mar,No,Green,2014,12
0,Mar,No,Green,2015,23
0,Mar,No,Green,2018,67
0,Mar,No,Green,2019,116
0,Mar,No,Green,2020,84
0,Mar,No,Green,2021,101
0,Mar,Yes,Green,2016,24
0,Mar,Yes,Green,2017,32
0,Mar,Yes,Green,2022,74
0,May,No,Green,2011,31
0,May,No,Green,2013,163
0,May,No,Green,2014,29
0,May,No,Green,2015,15
0,May,No,Green,2018,44
0,May,No,Green,2019,22
0,May,No,Green,2021,35
0,May,No,Green,2023,25
0,May,Yes,Green,2016,7
0,May,Yes,Green,2017,29
0,May,Yes,Green,2022,31
0,Nov,No,Yellow,2012,161
0,Nov,No,Yellow,2013,104
0,Nov,No,Yellow,2014,125
0,Nov,No,Yellow,2015,113
0,Nov,No,Yellow,2018,129
0,Nov,No,Yellow,2019,158
0,Nov,No,Yellow,2020,146
0,Nov,No,Yellow,2023,147
0,Nov,Yes,Yellow,2016,120
0,Nov,Yes,Yellow,2017,157
0,Nov,Yes,Yellow,2022,177
0,Oct,No,Yellow,2012,124
0,Oct,No,Yellow,2013,145
0,Oct,No,Yellow,2014,109
0,Oct,No,Yellow,2018,61
0,Oct,No,Yellow,2019,138
0,Oct,No,Yellow,2020,120
0,Oct,No,Yellow,2023,112
0,Oct,Yes,Yellow,2016,97
0,Oct,Yes,Yellow,2017,131
0,Oct,Yes,Yellow,2022,169
0,Sep,No,Yellow,2011,94
0,Sep,No,Yellow,2012,159
0,Sep,No,Yellow,2014,85
0,Sep,No,Yellow,2015,84
0,Sep,No,Yellow,2018,26
0,Sep,No,Yellow,2019,109
0,Sep,No,Yellow,2020,120
0,Sep,No,Yellow,2023,82
0,Sep,Yes,Yellow,2022,116
1,Apr,No,Green,2011,16
1,Apr,No,Green,2013,7
1,Apr,No,Green,2018,29
1,Apr,No,Green,2019,34
1,Apr,No,Green,2021,45
1,Apr,No,Green,2023,28
1,Apr,Yes,Green,2017,15
1,Apr,Yes,Green,2022,23
