Ripe.fruit,Month,Drought,Period,Green.Year,n
0,Apr,No,Green,2011,171
0,Apr,No,Green,2013,2
0,Apr,No,Green,2018,180
0,Apr,No,Green,2019,183
0,Apr,No,Green,2021,185
0,Apr,No,Green,2023,176
0,Apr,Yes,Green,2017,147
0,Apr,Yes,Green,2022,172
0,Aug,No,Yellow,2011,174
0,Aug,No,Yellow,2012,88
0,Aug,No,Yellow,2013,115
0,Aug,No,Yellow,2014,164
0,Aug,No,Yellow,2018,186
0,Aug,No,Yellow,2019,182
0,Aug,No,Yellow,2020,183
0,Aug,No,Yellow,2021,182
0,Aug,No,Yellow,2023,193
0,Aug,Yes,Yellow,2016,147
0,Aug,Yes,Yellow,2022,158
0,Dec,No,Green,2013,151
0,Dec,No,Green,2014,163
0,Dec,No,Green,2015,164
0,Dec,No,Green,2018,188
0,Dec,No,Green,2019,187
0,Dec,No,Green,2020,180
0,Dec,No,Green,2021,180
0,Dec,No,Green,2023,195
0,Dec,Yes,Green,2016,158
0,Dec,Yes,Green,2017,148
0,Dec,Yes,Green,2022,179
0,Feb,No,Green,2011,174
0,Feb,No,Green,2013,2
0,Feb,No,Green,2014,157
0,Feb,No,Green,2018,189
0,Feb,No,Green,2019,182
0,Feb,No,Green,2020,176
0,Feb,No,Green,2021,182
0,Feb,No,Green,2023,103
0,Feb,Yes,Green,2016,152
0,Feb,Yes,Green,2017,151
0,Feb,Yes,Green,2022,172
0,Jan,No,Green,2011,175
0,Jan,No,Green,2013,91
0,Jan,No,Green,2014,164
0,Jan,No,Green,2015,155
0,Jan,No,Green,2018,31
0,Jan,No,Green,2019,187
0,Jan,No,Green,2020,181
0,Jan,No,Green,2021,180
0,Jan,No,Green,2023,196
0,Jan,Yes,Green,2016,151
0,Jan,Yes,Green,2017,146
0,Jan,Yes,Green,2022,178
0,Jul,No,Yellow,2011,194
0,Jul,No,Yellow,2012,64
0,Jul,No,Yellow,2013,51
0,Jul,No,Yellow,2015,157
0,Jul,No,Yellow,2018,92
0,Jul,No,Yellow,2019,185
0,Jul,No,Yellow,2020,182
0,Jul,No,Yellow,2023,194
0,Jul,Yes,Yellow,2016,147
0,Jul,Yes,Yellow,2017,190
0,Jul,Yes,Yellow,2022,177
0,Jun,No,Yellow,2011,157
0,Jun,No,Yellow,2012,53
0,Jun,No,Yellow,2013,66
0,Jun,No,Yellow,2014,164
0,Jun,No,Yellow,2015,160
0,Jun,No,Yellow,2018,177
0,Jun,No,Yellow,2019,183
0,Jun,No,Yellow,2020,182
0,Jun,No,Yellow,2021,121
0,Jun,No,Yellow,2023,189
0,Jun,Yes,Yellow,2017,145
0,Jun,Yes,Yellow,2022,178
0,Mar,No,Green,2011,174
0,Mar,No,Green,2014,166
0,Mar,No,Green,2015,158
0,Mar,No,Green,2018,191
0,Mar,No,Green,2019,185
0,Mar,No,Green,2020,183
0,Mar,No,Green,2021,178
0,Mar,Yes,Green,2016,149
0,Mar,Yes,Green,2017,146
0,Mar,Yes,Green,2022,174
0,May,No,Green,2011,172
0,May,No,Green,2013,29
0,May,No,Green,2014,166
0,May,No,Green,2015,160
0,May,No,Green,2018,182
0,May,No,Green,2019,179
0,May,No,Green,2021,186
0,May,No,Green,2023,195
0,May,Yes,Green,2016,147
0,May,Yes,Green,2017,146
0,May,Yes,Green,2022,176
0,Nov,No,Yellow,2012,149
0,Nov,No,Yellow,2013,160
0,Nov,No,Yellow,2014,165
0,Nov,No,Yellow,2015,157
0,Nov,No,Yellow,2018,185
0,Nov,No,Yellow,2019,180
0,Nov,No,Yellow,2020,179
0,Nov,No,Yellow,2023,194
0,Nov,Yes,Yellow,2016,149
0,Nov,Yes,Yellow,2017,190
0,Nov,Yes,Yellow,2022,199
0,Oct,No,Yellow,2012,97
0,Oct,No,Yellow,2013,161
0,Oct,No,Yellow,2014,165
0,Oct,No,Yellow,2018,85
0,Oct,No,Yellow,2019,181
0,Oct,No,Yellow,2020,184
0,Oct,No,Yellow,2023,196
0,Oct,Yes,Yellow,2016,151
0,Oct,Yes,Yellow,2017,192
0,Oct,Yes,Yellow,2022,198
0,Sep,No,Yellow,2011,174
