Ripe.fruit,Month,YrAfter,Period,Green.Year,n
0,Apr,No,Green,2013,2
0,Apr,No,Green,2019,183
0,Apr,No,Green,2021,185
0,Apr,Yes,Green,2018,180
0,Apr,Yes,Green,2023,176
0,Aug,No,Yellow,2012,88
0,Aug,No,Yellow,2013,115
0,Aug,No,Yellow,2014,164
0,Aug,No,Yellow,2019,182
0,Aug,No,Yellow,2020,183
0,Aug,No,Yellow,2021,182
0,Aug,Yes,Yellow,2018,186
0,Aug,Yes,Yellow,2023,193
0,Dec,No,Green,2013,151
0,Dec,No,Green,2014,163
0,Dec,No,Green,2015,164
0,Dec,No,Green,2019,187
0,Dec,No,Green,2020,180
0,Dec,No,Green,2021,180
0,Dec,Yes,Green,2018,188
0,Dec,Yes,Green,2023,195
0,Feb,No,Green,2013,2
0,Feb,No,Green,2014,157
0,Feb,No,Green,2019,182
0,Feb,No,Green,2020,176
0,Feb,No,Green,2021,182
0,Feb,Yes,Green,2018,189
0,Feb,Yes,Green,2023,103
0,Jan,No,Green,2013,91
0,Jan,No,Green,2014,164
0,Jan,No,Green,2015,155
0,Jan,No,Green,2019,187
0,Jan,No,Green,2020,181
0,Jan,No,Green,2021,180
0,Jan,Yes,Green,2018,31
0,Jan,Yes,Green,2023,196
0,Jul,No,Yellow,2012,64
0,Jul,No,Yellow,2013,51
0,Jul,No,Yellow,2015,157
0,Jul,No,Yellow,2019,185
0,Jul,No,Yellow,2020,182
0,Jul,Yes,Yellow,2018,92
0,Jul,Yes,Yellow,2023,194
0,Jun,No,Yellow,2012,53
0,Jun,No,Yellow,2013,66
0,Jun,No,Yellow,2014,164
0,Jun,No,Yellow,2015,160
0,Jun,No,Yellow,2019,183
0,Jun,No,Yellow,2020,182
0,Jun,No,Yellow,2021,121
0,Jun,Yes,Yellow,2018,177
0,Jun,Yes,Yellow,2023,189
0,Mar,No,Green,2014,166
0,Mar,No,Green,2015,158
0,Mar,No,Green,2019,185
0,Mar,No,Green,2020,183
0,Mar,No,Green,2021,178
0,Mar,Yes,Green,2018,191
0,May,No,Green,2013,29
0,May,No,Green,2014,166
0,May,No,Green,2015,160
0,May,No,Green,2019,179
0,May,No,Green,2021,186
0,May,Yes,Green,2018,182
0,May,Yes,Green,2023,195
0,Nov,No,Yellow,2012,149
0,Nov,No,Yellow,2013,160
0,Nov,No,Yellow,2014,165
0,Nov,No,Yellow,2015,157
0,Nov,No,Yellow,2019,180
0,Nov,No,Yellow,2020,179
0,Nov,Yes,Yellow,2018,185
0,Nov,Yes,Yellow,2023,194
0,Oct,No,Yellow,2012,97
0,Oct,No,Yellow,2013,161
0,Oct,No,Yellow,2014,165
0,Oct,No,Yellow,2019,181
0,Oct,No,Yellow,2020,184
0,Oct,Yes,Yellow,2018,85
0,Oct,Yes,Yellow,2023,196
0,Sep,No,Yellow,2012,110
0,Sep,No,Yellow,2014,165
0,Sep,No,Yellow,2015,156
0,Sep,No,Yellow,2019,179
0,Sep,No,Yellow,2020,184
0,Sep,Yes,Yellow,2018,51
0,Sep,Yes,Yellow,2023,195
1,Apr,No,Green,2013,3
1,Apr,Yes,Green,2018,2
1,Apr,Yes,Green,2023,2
1,Aug,No,Yellow,2012,22
1,Aug,No,Yellow,2019,2
1,Aug,No,Yellow,2020,1
1,Aug,No,Yellow,2021,1
1,Aug,Yes,Yellow,2018,1
1,Dec,No,Green,2013,6
1,Dec,No,Green,2015,1
1,Dec,No,Green,2019,1
1,Dec,No,Green,2020,2
1,Dec,No,Green,2021,3
1,Dec,Yes,Green,2023,3
1,Feb,No,Green,2013,11
1,Feb,No,Green,2014,1
1,Feb,No,Green,2019,1
1,Feb,No,Green,2020,1
1,Feb,No,Green,2021,2
1,Jan,No,Green,2013,49
1,Jan,No,Green,2014,2
1,Jan,No,Green,2015,1
1,Jan,No,Green,2020,4
1,Jan,No,Green,2021,1
1,Jan,Yes,Green,2023,4
1,Jul,No,Yellow,2012,20
1,Jul,No,Yellow,2020,2
1,Jul,Yes,Yellow,2023,2
1,Jun,No,Yellow,2012,12
1,Jun,No,Yellow,2013,25
1,Jun,No,Yellow,2019,1
1,Jun,No,Yellow,2020,2
1,Jun,Yes,Yellow,2018,1
1,Jun,Yes,Yellow,2023,2
1,Mar,No,Green,2013,1
