unripe,Month,YrAfter,Period,Green.Year,n
0,Apr,No,Green,2013,145
0,Apr,No,Green,2019,180
0,Apr,No,Green,2021,184
0,Apr,Yes,Green,2018,180
0,Apr,Yes,Green,2023,163
0,Aug,No,Yellow,2012,172
0,Aug,No,Yellow,2013,110
0,Aug,No,Yellow,2014,164
0,Aug,No,Yellow,2019,181
0,Aug,No,Yellow,2020,177
0,Aug,No,Yellow,2021,183
0,Aug,Yes,Yellow,2018,185
0,Aug,Yes,Yellow,2023,187
0,Dec,No,Green,2013,11
0,Dec,No,Green,2014,155
0,Dec,No,Green,2015,156
0,Dec,No,Green,2019,188
0,Dec,No,Green,2020,173
0,Dec,No,Green,2021,181
0,Dec,Yes,Green,2018,165
0,Dec,Yes,Green,2023,197
0,Feb,No,Green,2013,53
0,Feb,No,Green,2014,155
0,Feb,No,Green,2019,172
0,Feb,No,Green,2020,175
0,Feb,No,Green,2021,171
0,Feb,Yes,Green,2018,172
0,Feb,Yes,Green,2023,99
0,Jan,No,Green,2013,1
0,Jan,No,Green,2014,152
0,Jan,No,Green,2015,145
0,Jan,No,Green,2019,181
0,Jan,No,Green,2020,160
0,Jan,No,Green,2021,175
0,Jan,Yes,Green,2018,31
0,Jan,Yes,Green,2023,195
0,Jul,No,Yellow,2012,170
0,Jul,No,Yellow,2013,51
0,Jul,No,Yellow,2015,152
0,Jul,No,Yellow,2019,181
0,Jul,No,Yellow,2020,176
0,Jul,Yes,Yellow,2018,90
0,Jul,Yes,Yellow,2023,189
0,Jun,No,Yellow,2012,165
0,Jun,No,Yellow,2013,160
0,Jun,No,Yellow,2014,163
0,Jun,No,Yellow,2015,153
0,Jun,No,Yellow,2019,178
0,Jun,No,Yellow,2020,175
0,Jun,No,Yellow,2021,119
0,Jun,Yes,Yellow,2018,177
0,Jun,Yes,Yellow,2023,195
0,Mar,No,Green,2013,4
0,Mar,No,Green,2014,161
0,Mar,No,Green,2015,145
0,Mar,No,Green,2019,180
0,Mar,No,Green,2020,174
0,Mar,No,Green,2021,182
0,Mar,Yes,Green,2018,176
0,May,No,Green,2013,164
0,May,No,Green,2014,163
0,May,No,Green,2015,154
0,May,No,Green,2019,174
0,May,No,Green,2021,182
