Lemur,Year2,Code,Total.Fat
Sifaka10,2.Drought,1,2.5
Sifaka10,3.Post.Drought,1,1.5
Sifaka26,2.Drought,1,4.5
Sifaka26,3.Post.Drought,1,3
Sifaka13,2.Drought,1,4
Sifaka13,3.Post.Drought,1,1
Sifaka06,1.Pre.Drought,2,2
Sifaka06,2.Drought,2,2
Sifaka06,3.Post.Drought,2,2
Sifaka18,1.Pre.Drought,2,3.5
Sifaka18,2.Drought,2,2.5
Sifaka18,3.Post.Drought,2,2.5
Sifaka12,2.Drought,1,4
Sifaka12,3.Post.Drought,1,3
Sifaka07,1.Pre.Drought,2,4
Sifaka07,2.Drought,2,4
Sifaka07,3.Post.Drought,2,2.5
Sifaka32,2.Drought,1,5.5
Sifaka32,3.Post.Drought,1,3.5
Sifaka28,1.Pre.Drought,2,2.5
Sifaka28,2.Drought,2,5
Sifaka28,3.Post.Drought,2,3
Sifaka15,1.Pre.Drought,2,3.5
Sifaka15,2.Drought,2,5.5
Sifaka15,3.Post.Drought,2,2.5
Sifaka14,1.Pre.Drought,2,3.5
Sifaka14,2.Drought,2,4
Sifaka14,3.Post.Drought,2,2
Sifaka21,2.Drought,1,2.5
Sifaka21,3.Post.Drought,1,3
