Green.Year,Drought,N,Sugar,sd,se,ci
2011,No,10,0.135203302,0.197156996,0.062346516,0.141037619
2012,No,59,0.36079597,0.233109585,0.030348283,0.060748689
2013,No,2,0.547619048,0.639763278,0.452380952,5.748045
2014,No,61,0.297287981,0.300571596,0.038484249,0.07697996
2015,No,40,0.298347597,0.219500028,0.034706002,0.070199515
2016,Yes,62,0.458278575,0.247959432,0.031490879,0.062969905
2017,Yes,66,0.307252283,0.214004189,0.026342095,0.052608796
2018,No,64,0.204397975,0.205581752,0.025697719,0.051352794
2019,No,110,0.282541957,0.207637115,0.019797422,0.039237847
2020,No,92,0.349062014,0.251000083,0.026168568,0.051980645
2021,No,65,0.193164703,0.151829192,0.018832094,0.037621432
2022,Yes,85,0.395872839,0.190851385,0.020700739,0.04116569
2023,No,67,0.374520317,0.267062354,0.032626859,0.065141627
